Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
2012,0.21,0.21,0.21,0.20,0.18,0.18,0.21,0.22,0.19,0.26,0.19,0.21,,21
2013,0.21,0.21,0.19,0.20,0.18,0.17,0.19,0.22,0.18,0.20,0.21,0.22,,
2014,0.20,0.21,0.20,0.18,0.19,0.18,0.22,0.21,0.21,0.23,0.22,0.21,,
2015,0.24,0.25,0.20,0.20,0.20,0.18,0.22,0.19,0.19,0.21,0.22,0.25,,
2016,0.25,0.26,0.24,0.19,0.20,0.19,0.22,0.21,0.22,0.22,0.24,0.23,,
2017,0.24,0.24,0.23,0.17,0.20,0.19,0.21,0.21,0.21,0.23,0.20,0.24,,
2018,0.25,0.22,0.23,0.19,0.20,0.20,0.25,0.18,0.22,0.27,0.25,0.23,,
2019,0.25,0.22,0.19,0.18,0.21,0.19,0.24,0.21,0.25,0.27,0.25,0.24,,
2020,0.29,0.29,0.28,0.20,0.25,0.19,0.17,0.17,0.19,0.19,0.21,0.21,,
2021,0.19,0.21,0.18,0.18,0.19,0.21,0.22,0.22,0.22,0.23,0.20,0.20,,
2022,0.19,0.22,0.19,0.21,0.20,0.19,0.22,0.19,0.21,0.21,0.21,0.22,,
2023,0.18,0.20,0.19,0.16,0.20,0.21,0.23,0.23,0.21,0.25,0.25,0.24,,
2024,0.28,0.25,0.22,0.17,0.20,0.22,0.21,0.14,0.22,0.16,,,,
