Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,20,25,25,22,26,22,28,26,26,34,20.0,28.0
2013,24,25,24,27,24,22,24,26,28,24,25.0,28.0
2014,22,22,24,23,28,25,26,27,25,26,28.0,26.0
2015,19,26,30,21,24,24,28,23,26,25,23.0,24.0
2016,20,23,30,19,22,22,24,26,24,23,25.0,25.0
2017,23,28,29,20,23,24,25,24,25,27,24.0,22.0
2018,24,23,28,18,26,25,26,24,26,26,26.0,23.0
2019,21,24,29,21,25,26,26,26,28,31,26.0,27.0
2020,29,28,29,21,29,22,22,21,18,19,22.0,28.0
2021,23,26,25,25,25,30,28,23,20,20,18.0,22.0
2022,20,20,24,23,22,21,24,22,20,27,24.0,27.0
2023,20,17,21,18,20,20,23,24,24,24,22.0,21.0
2024,23,24,25,20,19,19,18,17,20,14,,
